# count<TAB>relative-path<TAB>trimmed suspect text
# Reviewed from the 172-line suspect set before Sprint 32A implementation.
1	docs/AI_DEVELOPMENT_RULES.md	- что осталось.
1	docs/ARCHITECTURE.md	- выполнять Location assignment business logic внутри WPF.
1	docs/ARCHITECTURE.md	- для redundant/non-bridge link обе части пусты и separated pair count равен 0.
1	docs/ARCHITECTURE.md	- для каждого varbind: OID, type code, display value и raw encoded value в Base64.
1	docs/ARCHITECTURE.md	- добавлять прямую зависимость WPF на NetLoom.Topology для принятия topology решений.
1	docs/ARCHITECTURE.md	- изменять manual topology discovery-процессом.
1	docs/ARCHITECTURE.md	- оба Forwarding -> Forwarding.
1	docs/ARCHITECTURE.md	- передачу evidence/freshness/confidence.
1	docs/ARCHITECTURE.md	- ссылки на исходные observations там, где они существуют.
1	docs/ARCHITECTURE.md	- считать bridgePortIndex равным ifIndex.
1	docs/ARCHITECTURE.md	5. при ошибке batch откатывается целиком; migrations, применённые до данного запуска, не затрагиваются.
1	docs/DATABASE.md	- возвращает normalized `StpObservation`, после чего topology layer выполняет projection/analysis in-memory.
1	docs/DATABASE.md	- существующий `ON DELETE CASCADE` по `observation_id` сохраняет raw-retention semantics без отдельной cleanup logic.
1	docs/DECISIONS.md	- замена секрета выполняется только через слой `ISecretProtector`.
1	docs/DECISIONS.md	- каждый candidate сохраняет объяснимый набор evidence.
1	docs/DECISIONS.md	- неполные или ошибочные строки LLDP не должны превращаться в вымышленные факты топологии.
1	docs/DECISIONS.md	- неудачный будущий poll не удаляет предыдущие наблюдения или факты топологии.
1	docs/DECISIONS.md	- один и тот же collector должен использоваться discovery, polling и simulator.
1	docs/DECISIONS.md	- передаёт provider в WPF `MainWindow`.
1	docs/DECISIONS.md	- при необходимости x86 будет выпускаться как отдельная конфигурация, а не через AnyCPU.
1	docs/DECISIONS.md	- привязать возможность расшифровки к учётной записи, под которой работает NetLoom.
1	docs/DECISIONS.md	- связывание локального и удалённого интерфейсов выполняется отдельным topology resolver на основе совокупности evidence.
1	docs/DECISIONS.md	- совпадение IP ↔ MAC ↔ FDB port увеличивает объём evidence, но не доказывает прямой физический кабель.
1	docs/DECISIONS.md	- создание/обновление Device будет выполняться последующим слоем на основании observations и identity claims.
1	docs/DECISIONS.md	- сохранение и reconciliation inventory будут выполняться отдельным слоем.
1	docs/DECISIONS.md	- удаление observation каскадно удаляет его нормализованные LLDP rows, но не означает автоматическое удаление существующего PhysicalLink.
1	docs/PROJECT_STATE.md	- включён PRAGMA foreign_keys = ON.
1	docs/PROJECT_STATE.md	- до documentation closure `git diff --check` clean, worktree clean, `HEAD == origin/main == cc36fc0f71499a216413ac56f1862cdd1935b664`.
1	docs/PROJECT_STATE.md	- добавлен unit regression `UiStringResourceIntegrityTests` для dropped-capital corruption.
1	docs/PROJECT_STATE.md	- никакого access-port guessing и никакого PhysicalLink из FDB/ARP.
1	docs/PROJECT_STATE.md	- одновременно исправлены обнаруженные повреждённые русские operator-facing values в `UiStrings.resx`.
1	docs/PROJECT_STATE.md	- повторная инициализация базы без повторного применения миграций.
1	docs/PROJECT_STATE.md	- полный regression suite и linux-x64 Engine проходят.
1	docs/PROJECT_STATE.md	- полный regression suite и linux-x64 publish проходят.
1	docs/PROJECT_STATE.md	- проверены legacy net48 и linux-x64 Engine.
2	docs/PROJECT_STATE.md	- проверены полный regression suite и linux-x64 Engine.
1	docs/PROJECT_STATE.md	- сборка проходит без предупреждений компилятора.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- более старое evidence не уменьшает LastSeenUtc.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- в JSON snapshot.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- два concurrent Initialize на clean DB завершаются успешно с 11 migration records.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- легче ИИ анализировать фактическую схему.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- независимый Health cadence: `schedule --kinds health --interval-seconds N`.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- неоднозначное port mapping не разрешается угадыванием.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- объяснение причины формирования candidate.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- основной backend не переписывается на Go; возможен отдельный будущий distributed `NetLoom.Probe`.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- при целевом размере до нескольких сотен устройств потеря производительности несущественна.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- работу разработчика и ИИ.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	- явно подтверждённой пользователем очистки.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	4. добавить tests.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	4. записать результат.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	а не выдуманный Port.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	а не превращаться в ещё одну универсальную NMS.
3	docs/ПРИЛОЖЕНИЕ К ТЗ.md	а не:
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	в Application layer.
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	в формате GUID:
1	docs/ПРИЛОЖЕНИЕ К ТЗ.md	выполняется корректно.
